date,season,hometeam,awayteam,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qb1_value_pre,qb2_value_pre,qb1_adj,qb2_adj,qbelo_prob1,qbelo_prob2,correct?
20001022,2000,5,29,1449.267,1398.925,0.660149817,0.339850183,117.7234544,202.3655754,-5.498032718,36.59206551,0.611638579,0.388361421,1
20001022,2000,25,28,1579.994,1442.4,0.762461955,0.237538045,150.5478547,68.445991,23.09940544,21.36861186,0.767488937,0.232511063,1
20001022,2000,27,8,1503.426,1297.642,0.826175062,0.173824938,56.31627666,-5.988905409,-8.16984102,-71.86087677,0.840475073,0.159524927,1
20001022,2000,15,32,1494.543,1577.023,0.474865462,0.525134538,50.8805998,112.0573997,-17.34526962,6.302404592,0.383320716,0.616679284,1
20001022,2000,26,6,1505.417,1347.689,0.782811355,0.217188645,114.0162642,86.00725184,26.00884819,4.19728942,0.786807978,0.213192022,1
20001022,2000,9,1,1441.803,1362.541,0.696447709,0.303552291,38.72886452,72.90833789,-41.31713785,15.9338663,0.599217075,0.400782925,1
20001022,2000,2,22,1405.606,1419.746,0.572675043,0.427324957,51.81904147,91.47135727,-14.586993,9.986624279,0.519627461,0.480372539,0
20001022,2000,3,31,1548.967,1649.716,0.448733847,0.551266153,55.63660679,137.4942441,-3.031700206,10.31181615,0.457750287,0.542249713,1
20001023,2000,24,19,1606.349,1588.616,0.616861842,0.383138158,114.134606,45.63811499,-12.59466633,-2.712685939,0.532124336,0.467875664,1
20001029,2000,9,15,1463.098,1466.316,0.587985993,0.412014007,46.43830126,41.34107839,-35.39656259,-21.24776684,0.540908648,0.459091352,0
20001029,2000,2,5,1392.725,1468.284,0.484809054,0.515190946,59.55058478,125.6176932,-9.991871696,-1.276011685,0.466764334,0.533235666,0
20001029,2000,30,20,1542.888,1681.22,0.396006473,0.603993527,66.4764228,149.930033,4.324528981,16.85002563,0.467632651,0.532367349,0
20001029,2000,17,25,1372.416,1594.643,0.288009446,0.711990554,64.09939711,152.9814699,57.7099709,23.16124275,0.314163984,0.685836016,1
20001029,2000,29,18,1379.909,1643.195,0.242058648,0.757941352,200.4798533,78.91868463,33.81960119,-89.73915525,0.406528585,0.593471415,1
20001029,2000,14,11,1605.729,1537.339,0.68305661,0.31694339,195.7400254,40.92741845,25.31908908,16.81502411,0.705379896,0.294620104,1
20001029,2000,4,24,1547.649,1616.587,0.494333005,0.505666995,124.2891785,134.8609589,22.87930625,-1.60175654,0.510016224,0.489983776,1
20001029,2000,23,26,1515.593,1511.765,0.597775726,0.402224274,71.06167083,113.1796646,-7.979871414,24.29010598,0.572282728,0.427717272,1
20001029,2000,3,27,1529.563,1513.132,0.615088925,0.384911075,61.21329397,58.21206678,9.313910405,0.081145623,0.638062064,0.361937936,0
20001029,2000,1,22,1341.246,1432.626,0.462108915,0.537891085,67.48877172,89.26184558,12.4273899,8.382537217,0.445070542,0.554929458,1
20001029,2000,19,12,1578.378,1506.99,0.686780914,0.313219086,47.63243052,109.8070161,-1.579893874,4.030431033,0.637109181,0.362890819,1
20001029,2000,28,16,1427.752,1566.105,0.395977559,0.604022441,30.86443577,128.4975029,-9.67284937,17.97376262,0.365124067,0.634875933,1
